USER_ID,target_exam_date,DAYS_ACTIVE_POST_EXAM,PERFORMANCE_VOLATILITY_SIGMA,score_mean,MAX_SCORE_JUMP_DELTA,is_suspicious
5ba4626c-678a-4f45-9600-c2b8964ba5fb,2025-02-13 00:00:00,48.0,0.15148721998016584,0.722841043890866,0.85,True
de5f5eea-d953-4a42-bd0f-e691b6839afe,2026-01-23 00:00:00,0.0,0.2166833366735765,0.5642142857142857,0.8683333333333333,True
0206fea7-fe8d-4494-9a17-3193683f3c33,2025-12-17 00:00:00,13.0,0.2527346525784226,0.7415833333333333,0.8233333333333334,True
7bf6a486-a13a-4744-ae6b-64f16849d259,2025-08-15 00:00:00,7.0,0.1580927770333893,0.5716867469879519,0.75,True
c248eadd-2aeb-401e-ad66-aec45b1f74e9,2023-12-15 00:00:00,8.0,0.13731537256065343,0.4684027777777778,0.55,True
1e67d072-b7f8-4ec2-b0c1-2d6d51373e2f,2025-04-16 00:00:00,0.0,0.1312975210696647,0.5216216216216216,0.5733333333333333,True
13a9bc7a-3459-4d0f-a465-46fca0d8c13b,2024-04-29 00:00:00,8.0,0.18020639121391735,0.6436363636363637,0.6499999999999999,True
dce198fe-2a24-4c90-9095-7154ff4d0865,2025-03-14 00:00:00,47.0,0.14721174495424716,0.6742380952380952,0.7,True
df27fed2-cc7c-432c-b54a-f1ba883841dd,2025-04-25 00:00:00,62.0,0.17762561021880888,0.619409282700422,0.7999999999999999,True
3c1d93ef-ee7e-4b1e-8ae4-b3af334bbe49,2025-08-15 00:00:00,1.0,0.17122005993036835,0.7556565656565657,0.6499999999999999,True
129798db-c409-4abc-a6e5-8d637160fa5d,2025-07-28 00:00:00,0.0,0.12789556919649836,0.7275809061488673,0.55,True
79e63fcb-a2db-427d-9694-f8701b03ea35,2025-06-30 00:00:00,0.0,0.1099761714565969,0.8062037037037038,0.5533333333333335,True
41914e02-bf11-4690-8d3d-d4dc8c3c0b53,2026-01-01 00:00:00,18.0,0.13358419383334713,0.5599999999999999,0.55,True
c911e593-b2f1-4a01-be44-4598074f4aca,2025-06-10 00:00:00,1.0,0.15609687558660887,0.7089814814814814,0.65,True
85048b8e-b7cd-4031-8883-80ac0f4000f8,2025-08-31 00:00:00,20.0,0.20318486879955136,0.7159090909090909,0.65,True
0f7a3f46-cb9e-4507-bf7d-24a32a0389df,2025-10-06 00:00:00,14.0,0.2702486995051303,0.5830681818181819,0.825,True
48756265-720b-4822-83a6-f98c11f1cf61,2026-01-01 00:00:00,60.0,0.18304384858566128,0.6263636363636365,0.7,True
8893ff32-82fa-4a32-a3a7-31f893927bff,2025-11-20 00:00:00,12.0,0.19457538724219695,0.3511111111111111,0.6,True
b18f97a7-af09-4935-be45-3efe86068cec,2025-03-24 00:00:00,17.0,0.1435483367506182,0.812579365079365,0.925,True
34cbefc8-1817-439d-8679-35d41d63f838,2024-12-06 00:00:00,5.0,0.21650144530001056,0.33147058823529413,0.6499999999999999,True
5aaf91b3-7a4a-4db5-b0bb-b81efbe9ee5a,2025-08-18 00:00:00,1.0,0.21208286339660268,0.7854166666666667,0.5733333333333334,True
da980de5-01ab-47a5-b147-e120904cfa65,2026-01-06 00:00:00,32.0,0.17078648953756437,0.6849761904761904,0.8,True
099c8ae6-bce4-4a14-bf1b-455dcdbafc35,2025-11-08 00:00:00,5.0,0.22629899604642098,0.5651748971193415,0.95,True
03f4eec5-a39e-4885-af9f-7b26110d6f26,2025-01-04 00:00:00,1.0,0.29297326385411576,0.6166666666666667,0.5499999999999999,True
448093f5-9d93-43e2-8e3e-443244529367,2025-02-28 00:00:00,0.0,0.13998276944750548,0.8065404040404041,0.6499999999999999,True
6181f58a-1c69-4311-b0cf-2a53024b4161,2025-07-24 00:00:00,0.0,0.17555836847254178,0.5711111111111111,0.5066666666666668,True
81cc8be6-ba4d-414c-a7f8-1e7db49116ca,2025-03-08 00:00:00,67.0,0.1305512250794653,0.5410802469135803,0.5533333333333333,True
9aea75b6-da44-4d95-b5c4-36867c3a93e2,2025-08-13 00:00:00,20.0,0.1610465013893692,0.6012195121951219,0.55,True
174004b6-5ae9-4722-bed1-a8c64fa8471a,2025-03-29 00:00:00,0.0,0.24982646968899225,0.5897435897435898,0.7999999999999999,True
1ddc883e-5bf3-467a-9cc1-1da3f3354ee5,2025-07-02 00:00:00,31.0,0.14427421265195242,0.7114312617702448,0.675,True
df6d1eea-23db-4aa8-a739-958ca5ccb3cd,2025-05-31 00:00:00,26.0,0.15110357926490905,0.6997916666666667,0.625,True
09bf3f1b-01d0-4b19-b221-32b1a5a57508,2025-07-25 00:00:00,42.0,0.11173160569974995,0.6664242424242424,0.5533333333333333,True
f127181c-b5d5-4080-9167-0575572be3b5,2025-10-25 00:00:00,20.0,0.22344232049510068,0.6499999999999999,0.575,True
597db22d-8767-4d9d-992b-76db54708cf4,2025-12-10 00:00:00,30.0,0.1620185174601965,0.625,0.55,True
bb126262-88f4-46c3-9458-f0d3de3306fa,2025-03-03 00:00:00,14.0,0.17591598722345478,0.6707186544342508,0.6499999999999999,True
5d0c3cf1-c30e-4800-ae69-3f7575114f47,2025-02-24 00:00:00,0.0,0.289776414448054,0.5644444444444444,0.36,True
08ed7edd-8636-4fb9-8804-37e8a7930eea,2025-07-28 00:00:00,1.0,0.1905144495881577,0.7853260869565217,0.95,True
c2fdda40-02e5-4d69-8f82-5ca5cc6ff538,2025-07-27 00:00:00,20.0,0.26007255041907335,0.8029999999999999,0.6733333333333333,True
08c27471-45e9-4c92-a92d-2b62d5a17476,2025-11-17 00:00:00,0.0,0.16764862244009224,0.35833333333333334,0.55,True
395b4158-4b0d-481e-9145-e4ea9dcb852e,2025-05-31 00:00:00,8.0,0.14555045580548753,0.6965333333333333,0.55,True
cc1b60c1-b586-4987-acf3-d6a84ede0222,2025-06-30 00:00:00,23.0,0.13283611885678712,0.7949166666666667,0.6499999999999999,True
d7d60376-7b01-42ec-aca1-48bdfab60e14,2026-01-23 00:00:00,22.0,0.12908534202428068,0.6995945945945946,0.6000000000000001,True
fbcc11a0-7430-44b3-9ec9-2418097dd469,2025-10-01 00:00:00,28.0,0.1582607489128768,0.7488888888888889,0.8,True
997cdfda-0b95-4906-a492-882621df0bf1,2025-06-05 00:00:00,38.0,0.21517586666438984,0.5935294117647059,0.7733333333333334,True
06554e03-ca9f-4137-8cf2-82bb09e22140,2024-05-10 00:00:00,0.0,0.19956369309163802,0.7227142857142858,0.9,True
48870bbb-04ed-4283-9ac9-7a96d50c9be0,2026-01-26 00:00:00,4.0,0.15041703544760324,0.7423983739837399,0.75,True
8da4da93-1046-4462-ba6e-c8dad5060e52,2026-01-28 00:00:00,0.0,0.21590616058364379,0.6415909090909091,0.65,True
c92ee23d-ac46-4387-a407-ce08fad7992b,2025-06-14 00:00:00,19.0,0.17467761310058744,0.6637500000000001,0.6866666666666666,True
5e6bf254-87a4-44b7-8973-abc0542f245f,2025-05-01 00:00:00,7.0,0.23129933142454762,0.6208156028368794,0.9,True
1ccd1295-e7a9-45a3-b3ac-64381c455e0c,2025-07-23 00:00:00,34.0,0.1503711519114654,0.5431782945736434,0.5333333333333333,True
ea46ebb5-b119-455b-aed5-952a47335561,2025-06-17 00:00:00,20.0,0.1399492875890081,0.8417150635208712,0.7333333333333334,True
3035ac73-970e-4a96-a1ca-004099920faa,2025-06-27 00:00:00,0.0,0.2290115014715807,0.501,0.9,True
85c2daf5-dd7f-411e-9bb3-ef0d46ed24f1,2025-11-09 00:00:00,16.0,0.13191527257728403,0.7491891891891892,0.6000000000000001,True
7a0c2588-bb14-4f85-ad56-0af5fa5d190b,2025-04-04 00:00:00,60.0,0.1337694723251314,0.6754480286738351,0.525,True
3f4cd7e7-20bd-4ee3-be93-ca552c983eee,2025-05-30 00:00:00,23.0,0.22684919121644573,0.7279166666666667,0.52,True
5f08fd1a-1658-4609-b868-fd7a10dd564e,2026-01-23 00:00:00,0.0,0.10475469715902914,0.46996296296296297,0.55,True
c7df2bd7-4c7b-4dd6-bb15-6e5dfee6e465,2024-08-15 00:00:00,18.0,0.18704759518344635,0.7350516795865634,0.7866666666666667,True
aa495084-c9d0-4138-8c89-9293e0190cd8,2024-12-15 00:00:00,33.0,0.1751421933848815,0.8367816091954022,0.8,True
7031c6e9-9346-4032-aca1-b7ae552a5857,2025-04-12 00:00:00,7.0,0.20979165576626665,0.6979569892473119,0.6000000000000001,True
48571b38-8082-4a05-8c14-3780d0a32206,2025-11-14 00:00:00,11.0,0.151206084425063,0.6317816091954023,0.6,True
3fc6f009-ec46-415a-93e1-0fc3131e12c9,2025-09-19 00:00:00,7.0,0.1520297355899751,0.8781034482758621,0.63,True
eac6efe0-3ad1-4afd-b270-f7b12e30ab26,2025-09-01 00:00:00,4.0,0.16045220003705785,0.7326470588235294,0.85,True
64405553-0117-419d-877f-f77dcac10704,2025-03-27 00:00:00,6.0,0.1684664725722967,0.5366666666666667,0.55,True
0fefb982-f349-4817-9935-fff0b70aceb9,2024-10-22 00:00:00,17.0,0.19078507860665156,0.47846846846846847,0.65,True
5e55a8e7-a170-4763-8d4c-67d1a5c824c6,2025-12-20 00:00:00,0.0,0.1422821596791494,0.7238888888888888,0.6,True
8b709084-2587-4e4e-9b28-a989a91cd368,2025-05-03 00:00:00,9.0,0.19375672031355887,0.5316666666666666,0.6,True
