user_id,unique_countries,geo_entropy_norm,effective_countries,country_switch_rate,country_alternation_rate
024af674-2b8a-4a55-bc03-fd0e1b1ad6ab,2,1.0,2.0,1.0,0.0
3f059fd8-1a1a-4bef-b24c-931f582bd2bb,2,1.0,2.0,1.0,0.0
fb070549-3460-42c1-8d33-9e6bf30dbed5,2,1.0,2.0,1.0,0.0
f85cc520-8a9a-4646-90a3-a49ccb0a41d6,2,1.0,2.0,1.0,0.0
e805185e-f0dd-4956-8021-b5a1af62d8d1,2,1.0,2.0,1.0,0.0
e2472d10-d354-4cbc-8dbb-7b0812b976c3,2,1.0,2.0,1.0,0.0
d7a8126c-7818-4f47-ba50-fbec4e539733,2,1.0,2.0,1.0,0.0
c9bbbf01-4832-45ec-8f39-dc3eeb3c394c,2,1.0,2.0,1.0,0.0
bfb0cac7-e64b-4376-a1bc-5342ce1c427d,2,1.0,2.0,1.0,0.0
a32f77d6-2a21-4b8f-8d54-1a0289137dad,2,1.0,2.0,1.0,0.0
7f71de1f-83d4-43db-afed-038e2d7d30e0,2,1.0,2.0,1.0,0.0
027e0acb-df57-480f-be74-458303109224,2,1.0,2.0,1.0,1.0
64d82630-e9e0-45d0-9f95-e744917bfbe0,2,1.0,2.0,1.0,0.0
63ddb489-1d03-49e3-821b-cb7054723803,2,1.0,2.0,1.0,0.0
436269dc-00ce-4a45-bbb7-10cbb1826c2b,2,1.0,2.0,1.0,0.0
ff21ee42-5be8-4a61-ad18-aac64dd55c4b,2,1.0,2.0,1.0,0.0
05fb74d0-b7d8-4a8e-83f5-7cece8a29790,2,1.0,2.0,1.0,0.0
0f613135-8fbd-4830-b1a5-125653728873,2,1.0,2.0,1.0,0.0
27b74826-e884-4d90-b0df-5cc2283a5897,4,0.975031878218105,3.863916068400419,0.3333333333333333,0.0
31924ec0-6eda-4bf0-8544-b0090a13076d,2,0.9709505944546688,1.9601317042077895,0.75,0.3333333333333333
61811e3c-9630-4509-9a61-e11dcf93ee1c,3,0.964961840382344,2.8867143029300504,0.5333333333333333,0.07142857142857142
6f261e5d-bbe0-44c2-9428-b13946979317,3,0.9603948809345498,2.872267013585745,0.13333333333333333,0.0
9f5f9ffe-7bc0-4d22-a17a-01923c44d1ed,3,0.9602297178607612,2.8717458874925876,0.5,0.0
41a30212-edb4-419e-a3a7-f51f619da4ff,3,0.9274146772490501,2.7700605000027925,0.5666666666666667,0.2413793103448276
b989a493-eb52-44d7-9d52-d8fca066d639,4,0.9224703039825278,3.592381599403848,0.3333333333333333,0.043478260869565216
9c7c1a74-fb02-450e-8cd1-d98d4a44127a,3,0.920619835714305,2.7494592739972052,0.6,0.0
67ae46d9-5642-4497-967d-ae8c77a3bc9b,2,0.9182958340544894,1.8898815748423097,1.0,1.0
3d5acbc4-5328-432b-b0ca-ca810814e553,2,0.9182958340544894,1.8898815748423097,1.0,1.0
7dd2d410-d66b-4fd2-83c5-7572f878df9f,2,0.9182958340544894,1.8898815748423097,0.8,0.75
a345701d-702c-4183-9c14-bd50f37748d0,2,0.9182958340544894,1.8898815748423097,1.0,1.0
399e6685-63b6-4f00-a680-290a81f736ff,3,0.9076727178302496,2.7106281613755914,0.20833333333333334,0.043478260869565216
7cbba682-9b28-40a6-8ac0-2205d15372e3,9,0.9054307666127701,7.311399704515144,0.4393939393939394,0.09230769230769231
0c050f0c-f0f4-4543-a181-87df8873d0d4,3,0.9032139773855576,2.6973828142502674,0.5,0.18181818181818182
b96ac7cb-eb54-45cb-8aa6-88866890adf3,3,0.8868595071429147,2.649351128562104,0.42857142857142855,0.0
ea011d46-a465-48de-a317-d6b823ce7692,5,0.8792929504303838,4.117175666960551,0.1038961038961039,0.013157894736842105
eba71f1e-fffd-4c55-9e1b-ee76fd23c6ab,3,0.8783471047618534,2.6246903390462624,0.8,0.25
683a18d3-71ab-4503-94ac-416890304b6f,3,0.8699155297736259,2.6004900059896596,0.3333333333333333,0.0
4ef4de14-0acb-4b3b-a23f-6276e6582c17,3,0.8699155297736259,2.6004900059896596,0.3333333333333333,0.0
