user_id,target_exam_date,activity_days_after_exam,score_volatility_std,score_mean,max_score_jump_delta,is_suspicious
8f8305d7-478a-4d64-831e-be9b0abaf082,2025-06-27 00:00:00,24.0,0.252627699821261,0.7165094339622642,1.0,True
8f8305d7-478a-4d64-831e-be9b0abaf082,2025-06-27 00:00:00,24.0,0.252627699821261,0.7165094339622642,1.0,True
8f8305d7-478a-4d64-831e-be9b0abaf082,2025-09-30 00:00:00,24.0,0.252627699821261,0.7165094339622642,1.0,True
8f8305d7-478a-4d64-831e-be9b0abaf082,2025-06-30 00:00:00,24.0,0.252627699821261,0.7165094339622642,1.0,True
8f8305d7-478a-4d64-831e-be9b0abaf082,2025-07-11 00:00:00,24.0,0.252627699821261,0.7165094339622642,1.0,True
8f8305d7-478a-4d64-831e-be9b0abaf082,2025-06-30 00:00:00,24.0,0.252627699821261,0.7165094339622642,1.0,True
8f8305d7-478a-4d64-831e-be9b0abaf082,2025-07-04 00:00:00,24.0,0.252627699821261,0.7165094339622642,1.0,True
8f8305d7-478a-4d64-831e-be9b0abaf082,2025-08-04 00:00:00,24.0,0.252627699821261,0.7165094339622642,1.0,True
8f8305d7-478a-4d64-831e-be9b0abaf082,2025-07-04 00:00:00,24.0,0.252627699821261,0.7165094339622642,1.0,True
8f8305d7-478a-4d64-831e-be9b0abaf082,2025-10-31 00:00:00,24.0,0.252627699821261,0.7165094339622642,1.0,True
8f8305d7-478a-4d64-831e-be9b0abaf082,2025-09-05 00:00:00,24.0,0.252627699821261,0.7165094339622642,1.0,True
8f8305d7-478a-4d64-831e-be9b0abaf082,2025-07-11 00:00:00,24.0,0.252627699821261,0.7165094339622642,1.0,True
fbf35263-84bc-4824-9629-e999334a31c0,2024-01-19 00:00:00,35.0,0.24844373200924905,0.811875,0.95,True
fbf35263-84bc-4824-9629-e999334a31c0,2024-01-30 00:00:00,35.0,0.24844373200924905,0.811875,0.95,True
fbf35263-84bc-4824-9629-e999334a31c0,2024-02-07 00:00:00,35.0,0.24844373200924905,0.811875,0.95,True
9383dd6e-3f3f-4934-b1ad-3eb0e4ec4858,2025-04-11 00:00:00,84.0,0.24889170694116633,0.6507344632768362,0.95,True
ee91af48-69e9-48de-8f23-313795032676,2025-12-08 00:00:00,27.0,0.35138298401055457,0.5124038461538462,0.95,True
55231a59-fcf0-451c-b97f-bd39466764c1,2025-05-05 00:00:00,21.0,0.26503476891110356,0.545074074074074,0.95,True
bf3f9758-b55d-48a0-a62c-2d6681a7f363,2025-06-21 00:00:00,21.0,0.21358202943622678,0.7771969696969697,0.95,True
3f004aea-3628-48c0-a466-0760f7bac3ff,2025-06-06 00:00:00,55.0,0.1890270330186205,0.7698275862068965,0.95,True
55231a59-fcf0-451c-b97f-bd39466764c1,2025-05-13 00:00:00,21.0,0.26503476891110356,0.545074074074074,0.95,True
337c02da-e601-423d-bc2f-11aadf901a64,2025-07-29 00:00:00,40.0,0.33927312686974326,0.5629129793510325,0.95,True
fbf35263-84bc-4824-9629-e999334a31c0,2024-02-02 00:00:00,35.0,0.24844373200924905,0.811875,0.95,True
9383dd6e-3f3f-4934-b1ad-3eb0e4ec4858,2025-05-05 00:00:00,84.0,0.24889170694116633,0.6507344632768362,0.95,True
9383dd6e-3f3f-4934-b1ad-3eb0e4ec4858,2025-04-11 00:00:00,84.0,0.24889170694116633,0.6507344632768362,0.95,True
9383dd6e-3f3f-4934-b1ad-3eb0e4ec4858,2025-05-08 00:00:00,84.0,0.24889170694116633,0.6507344632768362,0.95,True
195bf960-12ca-4119-b407-161edec64d7b,2025-08-04 00:00:00,22.0,0.24637398176124214,0.6915833333333333,0.95,True
3f004aea-3628-48c0-a466-0760f7bac3ff,2025-05-30 00:00:00,55.0,0.1890270330186205,0.7698275862068965,0.95,True
97e1a644-ae6d-4e3a-844a-a6f82bab289d,2025-07-19 00:00:00,52.0,0.17935932493701148,0.6900000000000001,0.95,True
55231a59-fcf0-451c-b97f-bd39466764c1,2025-02-16 00:00:00,21.0,0.26503476891110356,0.545074074074074,0.95,True
55231a59-fcf0-451c-b97f-bd39466764c1,2025-05-05 00:00:00,21.0,0.26503476891110356,0.545074074074074,0.95,True
55231a59-fcf0-451c-b97f-bd39466764c1,2025-05-05 00:00:00,21.0,0.26503476891110356,0.545074074074074,0.95,True
195bf960-12ca-4119-b407-161edec64d7b,2025-07-30 00:00:00,22.0,0.24637398176124214,0.6915833333333333,0.95,True
55231a59-fcf0-451c-b97f-bd39466764c1,2025-05-13 00:00:00,21.0,0.26503476891110356,0.545074074074074,0.95,True
c17dfd7c-909f-4798-aa45-1148caa158d0,2025-09-08 00:00:00,34.0,0.19903422444748237,0.661015325670498,0.95,True
55231a59-fcf0-451c-b97f-bd39466764c1,2025-09-29 00:00:00,21.0,0.26503476891110356,0.545074074074074,0.95,True
3f004aea-3628-48c0-a466-0760f7bac3ff,2025-08-17 00:00:00,55.0,0.1890270330186205,0.7698275862068965,0.95,True
