user_id,risk_tier,final_score,risk_score,model_score_norm,flags,auth_events,unique_device_families,device_switches,content_events,content_unique_ips,concurrent_max_distinct_ips,concurrent_event_ratio,password_reset_count,password_resets_after_positive,reset_device_diversity_change,post_positive_content_count,post_positive_exam_count
f56ac25c-dd37-4ecf-bd30-0926d7230fa5,high,0.8979760380464605,4.7,0.9993140662154747,"impossible_travel,concurrent,device_diversity,post_success",20.0,4.0,8.0,229.0,55.0,2.0,0.1004366812227074,,,,108.0,30.0
9f09f93f-b294-4a26-8adb-138c7d815684,high,0.8472727272727272,4.3,1.0,"impossible_travel,device_diversity,post_success,reset_shift",22.0,4.0,10.0,183.0,13.0,1.0,0.0,4.0,2.0,3.0,49.0,3.0
c2f8c50f-da58-4e60-bb11-a092abc636f1,high,0.8472590085970366,4.3,0.9999542710810316,"impossible_travel,device_diversity,post_success,reset_shift",30.0,4.0,8.0,76.0,22.0,2.0,0.0131578947368421,2.0,2.0,3.0,76.0,0.0
59fab9ac-a52d-4e93-bc44-981c57a83623,high,0.7707444668008048,3.7,0.9994512529723797,"impossible_travel,concurrent,post_success",20.0,3.0,6.0,53.0,17.0,2.0,0.0566037735849056,,,,53.0,32.0
77f081c5-d1e6-4116-ac48-221260c16e13,high,0.7453722334004024,3.5,0.9997256264861899,"impossible_travel,device_diversity,post_success",51.0,5.0,31.0,272.0,27.0,1.0,0.0,,,,272.0,73.0
d90e88eb-cd62-44f2-ab0b-e794df80a540,high,0.7448097676970916,3.5,0.9978507408084872,"impossible_travel,device_diversity,post_success",6.0,4.0,5.0,169.0,14.0,2.0,0.0118343195266272,,,,169.0,58.0
786ca853-3cfb-4e29-a11c-19c0cf2097e0,high,0.7447137369672581,3.5,0.9975306383757088,"impossible_travel,device_diversity,post_success",10.0,4.0,5.0,297.0,8.0,1.0,0.0,,,,211.0,40.0
e18fda1f-828e-4626-81b8-eea0240b9fd4,high,0.7436573989390891,3.5,0.9940095116151454,"impossible_travel,device_diversity,post_success",33.0,4.0,14.0,43.0,3.0,1.0,0.0,,,,43.0,0.0
4dea8d4d-b549-4d9a-a3b5-c3560f2afbd9,high,0.7424775928297055,3.5,0.9900768245838668,"impossible_travel,device_diversity,post_success",26.0,5.0,14.0,,,,,,,,0.0,1.0
ad956259-bd81-4f17-838f-4c566558baef,high,0.7196707517834278,3.3,0.9989025059447595,"impossible_travel,device_diversity,reset_shift",69.0,5.0,39.0,53.0,5.0,1.0,0.0,2.0,0.0,4.0,,
b9ad3a8f-d6a3-4591-9961-e413899a6609,high,0.7052972379732942,3.2,0.9934150356685568,"concurrent,device_diversity,post_success",10.0,4.0,5.0,7.0,4.0,2.0,0.1428571428571428,,,,7.0,26.0
96354ca7-5340-4579-b6c3-6197bbea0d5b,high,0.6804188768977502,3.0,0.9953356502652277,"concurrent,device_diversity,reset_shift",31.0,4.0,12.0,473.0,22.0,3.0,0.0591966173361522,4.0,0.0,2.0,0.0,0.0
822e61cc-12dd-4716-aeb9-1958647e6ece,high,0.6432522407170294,2.7,0.998719590268886,"impossible_travel,concurrent",99.0,3.0,46.0,441.0,159.0,3.0,0.0748299319727891,2.0,0.0,-1.0,,
f6a3ad7a-b85d-4e21-9c7c-cc5abe2785d5,high,0.6429641485275288,2.7,0.9977592829705506,"impossible_travel,concurrent",22.0,2.0,7.0,406.0,215.0,3.0,0.0862068965517241,8.0,0.0,-1.0,,
9d0dc421-4551-4ca7-999f-da7ca5f77f1a,high,0.6426897750137186,2.7,0.9968447045911835,"impossible_travel,concurrent",7.0,3.0,3.0,31.0,10.0,2.0,0.064516129032258,2.0,0.0,1.0,,
72c59726-2852-46fb-81da-3bc4bc3312c1,high,0.6409886592280958,2.7,0.9911743186391073,"impossible_travel,concurrent",13.0,2.0,6.0,271.0,19.0,3.0,0.1697416974169741,,,,,
69c7ffcd-ab28-4e00-8058-2e15b0c25ea9,high,0.6408651911468812,2.7,0.9907627583683921,"impossible_travel,concurrent",21.0,3.0,5.0,202.0,24.0,2.0,0.0544554455445544,,,,,
46e67b6f-750a-4de6-beae-4b8a009b01cc,high,0.640261569416499,2.7,0.9887506859337846,"impossible_travel,concurrent",10.0,3.0,6.0,182.0,57.0,2.0,0.1593406593406593,,,,,
747d0e86-18a0-4153-8638-998f99de9eef,high,0.6402066947137369,2.7,0.9885677702579111,"impossible_travel,concurrent",78.0,2.0,13.0,187.0,60.0,2.0,0.0855614973262032,,,,0.0,0.0
2fcd65f8-dca7-462a-881e-0393bc6e4007,high,0.6397676970916407,2.7,0.9871044448509237,"impossible_travel,concurrent",12.0,2.0,8.0,12.0,8.0,2.0,0.0833333333333333,2.0,0.0,-1.0,,
816d055f-1b8c-4448-a75c-c6b3d1633fce,high,0.6385330162794951,2.7,0.9829888421437717,"impossible_travel,concurrent",3.0,2.0,1.0,7.0,6.0,2.0,0.1428571428571428,,,,,
