user_id,auth_events,unique_device_families,unique_os_families,unique_browser_families,device_switches,content_events,content_unique_ips,concurrent_max_distinct_ips,concurrent_event_ratio,geo_max_speed_mph,geo_impossible_travel_count,geo_max_distance_from_registration,password_reset_count,avg_days_since_exam_at_reset,avg_days_since_high_readiness_at_reset,password_resets_after_positive,reset_device_diversity_change,positive_at,post_positive_content_count,post_positive_exam_count,flag_impossible_travel,flag_concurrent,flag_device_diversity,flag_post_success,flag_reset_shift,concurrent_event_ratio_z,unique_device_families_z,device_switches_z,anomaly_score,post_positive_total_activity,has_reset,has_positive,has_geo,risk_score,risk_score_norm,model_score_raw,model_score_norm,final_score,risk_tier,flags,any_flag
f56ac25c-dd37-4ecf-bd30-0926d7230fa5,20.0,4.0,4.0,3.0,8.0,229.0,55.0,2.0,0.1004366812227074,870.3462571105716,1.0,941.963091884997,,,,,,2025-07-01 10:56:08,108.0,30.0,True,True,True,True,False,0.0,2.0235,0.0,2.0235,138.0,False,True,True,4.7,0.8545454545454546,0.723748413468605,0.9993140662154748,0.8979760380464605,high,"impossible_travel,concurrent,device_diversity,post_success",True
9f09f93f-b294-4a26-8adb-138c7d815684,22.0,4.0,4.0,3.0,10.0,183.0,13.0,1.0,0.0,39317.32945255078,1.0,832.5623877689217,4.0,107.5,212.0,2.0,3.0,2025-05-25 23:18:08,49.0,3.0,True,False,True,True,True,0.0,2.0235,0.0,2.0235,52.0,True,True,True,4.3,0.7818181818181817,0.7767283007564445,1.0,0.8472727272727272,high,"impossible_travel,device_diversity,post_success,reset_shift",True
c2f8c50f-da58-4e60-bb11-a092abc636f1,30.0,4.0,4.0,4.0,8.0,76.0,22.0,2.0,0.0131578947368421,8751.532095390285,3.0,1234.0374431445553,2.0,,684.0,2.0,3.0,2023-10-27 14:05:04,76.0,0.0,True,False,True,True,True,0.0,2.0235,0.0,2.0235,76.0,True,True,True,4.3,0.7818181818181817,0.7749459295464591,0.9999542710810316,0.8472590085970366,high,"impossible_travel,device_diversity,post_success,reset_shift",True
59fab9ac-a52d-4e93-bc44-981c57a83623,20.0,3.0,3.0,3.0,6.0,53.0,17.0,2.0,0.0566037735849056,70113.72305346122,3.0,8345.977599985777,,,,,,2024-11-16 00:20:12,53.0,32.0,True,True,False,True,False,0.0,1.349,0.0,1.349,85.0,False,True,True,3.7,0.6727272727272727,0.7302311360013038,0.9994512529723796,0.7707444668008048,high,"impossible_travel,concurrent,post_success",True
77f081c5-d1e6-4116-ac48-221260c16e13,51.0,5.0,5.0,4.0,31.0,272.0,27.0,1.0,0.0,5064.537337588787,1.0,1045.7190246818357,,,,,,2024-02-07 14:42:17,272.0,73.0,True,False,True,True,False,0.0,2.698,0.0,2.698,345.0,False,True,True,3.5,0.6363636363636364,0.7448642336713912,0.99972562648619,0.7453722334004024,high,"impossible_travel,device_diversity,post_success",True
d90e88eb-cd62-44f2-ab0b-e794df80a540,6.0,4.0,4.0,2.0,5.0,169.0,14.0,2.0,0.0118343195266272,1546.683831687773,1.0,320.56064666259095,,,,,,2022-11-25 21:34:19,169.0,58.0,True,False,True,True,False,0.0,2.0235,0.0,2.0235,227.0,False,True,True,3.5,0.6363636363636364,0.686697283972862,0.9978507408084872,0.7448097676970916,high,"impossible_travel,device_diversity,post_success",True
786ca853-3cfb-4e29-a11c-19c0cf2097e0,10.0,4.0,4.0,2.0,5.0,297.0,8.0,1.0,0.0,1573.295181981917,1.0,159.727408901568,,,,,,2025-08-13 13:39:03,211.0,40.0,True,False,True,True,False,0.0,2.0235,0.0,2.0235,251.0,False,True,True,3.5,0.6363636363636364,0.6793801460969043,0.9975306383757088,0.7447137369672581,high,"impossible_travel,device_diversity,post_success",True
e18fda1f-828e-4626-81b8-eea0240b9fd4,33.0,4.0,4.0,3.0,14.0,43.0,3.0,1.0,0.0,2736.3842581960967,1.0,291.7369875769069,,,,,,2025-02-19 00:25:18,43.0,0.0,True,False,True,True,False,0.0,2.0235,0.0,2.0235,43.0,False,True,True,3.5,0.6363636363636364,0.6493415622065146,0.9940095116151454,0.7436573989390891,high,"impossible_travel,device_diversity,post_success",True
4dea8d4d-b549-4d9a-a3b5-c3560f2afbd9,26.0,5.0,5.0,2.0,14.0,,,,,581.4779146707331,1.0,8875.8618808964,,,,,,2025-07-19 23:54:35,0.0,1.0,True,False,True,True,False,0.0,2.698,0.0,2.698,1.0,False,True,True,3.5,0.6363636363636364,0.6227825392141573,0.9900768245838668,0.7424775928297055,high,"impossible_travel,device_diversity,post_success",True
ad956259-bd81-4f17-838f-4c566558baef,69.0,5.0,5.0,4.0,39.0,53.0,5.0,1.0,0.0,104806.39079054382,11.0,1755.9098732247548,2.0,,,0.0,4.0,,,,True,False,True,False,True,0.0,2.698,0.0,2.698,0.0,True,False,True,3.3,0.6,0.7135881983522233,0.9989025059447596,0.7196707517834278,high,"impossible_travel,device_diversity,reset_shift",True
