user_id,auth_events,unique_device_families,unique_os_families,unique_browser_families,device_switches,content_events,content_unique_ips,concurrent_max_distinct_ips,concurrent_event_ratio,geo_max_speed_mph,geo_impossible_travel_count,geo_max_distance_from_registration,password_reset_count,avg_days_since_exam_at_reset,avg_days_since_high_readiness_at_reset,password_resets_after_positive,reset_device_diversity_change,positive_at,post_positive_content_count,post_positive_exam_count,flag_impossible_travel,flag_concurrent,flag_device_diversity,flag_post_success,flag_reset_shift,concurrent_event_ratio_z,unique_device_families_z,device_switches_z,anomaly_score
0002211b-6e0c-4bd2-96b9-33c200b9efc4,4.0,2.0,2.0,2.0,3.0,36.0,6.0,1.0,0.0,2.6654188550721565,0.0,1182.3743327322636,,,,,,,,,False,False,False,False,False,0.0,0.6745,0.0,0.6745
00022407-82a1-441a-8925-70c416026784,3.0,2.0,2.0,2.0,1.0,,,,,0.09749090870895065,0.0,5378.333104673624,,,,,,,,,False,False,False,False,False,0.0,0.6745,0.0,0.6745
00032a17-b498-41d0-9018-9d1eaaf88048,,,,,,,,,,,,,,,,,,2023-05-09 00:17:50,0.0,0.0,False,False,False,False,False,0.0,-0.6745,0.0,0.6745
0006d178-29aa-4668-bcb5-efefd319f056,3.0,2.0,2.0,1.0,1.0,19.0,2.0,1.0,0.0,0.008335639845972884,0.0,7.754990931172401,,,,,,,,,False,False,False,False,False,0.0,0.6745,0.0,0.6745
00083cfe-429c-4d7e-8f59-3b0ceee503e8,5.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,0.0,4.777655710407346,0.0,15.191441628118632,,,,,,,,,False,False,False,False,False,0.0,0.6745,0.0,0.6745
000aee50-8ff0-4f5e-a15c-98dcbcdf52b9,5.0,2.0,2.0,1.0,2.0,104.0,15.0,1.0,0.0,0.09328677489454706,0.0,38.916330053251095,,,,,,,,,False,False,False,False,False,0.0,0.6745,0.0,0.6745
000c1ac8-9887-4b61-b695-9f8298acbb8b,4.0,2.0,2.0,2.0,1.0,,,,,0.06776199270027698,0.0,27.986870066678577,,,,,,,,,False,False,False,False,False,0.0,0.6745,0.0,0.6745
000d6e85-0ac0-4655-957b-f48c92eb3985,,,,,,,,,,,,,,,,,,2024-02-15 07:01:03,0.0,0.0,False,False,False,False,False,0.0,-0.6745,0.0,0.6745
000e3ff5-ce32-4011-865a-716ab9985bff,,,,,,,,,,,,,,,,,,2024-05-31 16:30:12,0.0,0.0,False,False,False,False,False,0.0,-0.6745,0.0,0.6745
00111df2-3d9a-47c3-a3b8-dae3a61369fe,,,,,,152.0,1.0,1.0,0.0,,,,,,,,,,,,False,False,False,False,False,0.0,-0.6745,0.0,0.6745
00118530-d2d8-4fda-8865-b9858f01e65d,4.0,2.0,2.0,2.0,1.0,,,,,0.006034911796589387,0.0,10.876269216729336,,,,,,2024-04-22 15:07:51,0.0,0.0,False,False,False,False,False,0.0,0.6745,0.0,0.6745
001b72e2-6e16-4e6d-9cab-a7a54095faa9,,,,,,23.0,3.0,1.0,0.0,,,,,,,,,,,,False,False,False,False,False,0.0,-0.6745,0.0,0.6745
001cc8b5-fad1-4486-90c4-5706a3b94373,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,False,False,False,False,False,0.0,-0.6745,0.0,0.6745
001d0e13-92a5-4b62-a474-bf8688c88ad0,5.0,3.0,3.0,2.0,3.0,7.0,1.0,1.0,0.0,0.0,0.0,2.781247428387269,2.0,,,0.0,0.0,,,,False,False,False,False,False,0.0,1.349,0.0,1.349
001e50c5-a8fa-4cd3-a7f9-02d0b3751c22,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,False,False,False,False,False,0.0,-0.6745,0.0,0.6745
00251c22-ff00-4905-ae18-de332de2e297,8.0,2.0,2.0,2.0,3.0,48.0,8.0,1.0,0.0,18.073910125934123,0.0,1058.7112390110424,,,,,,,,,False,False,False,False,False,0.0,0.6745,0.0,0.6745
002537fe-ef18-4a12-bbad-26d2ecc9fb83,3.0,2.0,2.0,2.0,1.0,,,,,0.0,0.0,6.988731927152962,,,,,,,,,False,False,False,False,False,0.0,0.6745,0.0,0.6745
002c1617-9386-409a-83b5-8736ab5d2282,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,False,False,False,False,False,0.0,-0.6745,0.0,0.6745
002d4436-d230-4238-87fc-dde4375e5cfb,,,,,,173.0,1.0,1.0,0.0,,,,,,,,,,,,False,False,False,False,False,0.0,-0.6745,0.0,0.6745
0032aab1-e1b1-44a9-b67d-0816c9d94d70,5.0,1.0,1.0,1.0,0.0,95.0,12.0,1.0,0.0,3.6724654907913012,0.0,1408.9192383416453,,,,,,,,,False,False,False,False,False,0.0,0.0,0.0,0.0
00389faf-e30b-43c0-b6dd-1a84aa1ac117,4.0,2.0,2.0,1.0,1.0,12.0,2.0,1.0,0.0,0.023789199524372535,0.0,11.547009362173611,,,,,,,,,False,False,False,False,False,0.0,0.6745,0.0,0.6745
0038c6c9-4954-4175-b5e0-0ba59089b289,14.0,3.0,3.0,2.0,10.0,,,,,6.9138212936934815,0.0,1847.4894285630626,,,,,,2025-07-30 05:29:14,0.0,0.0,False,False,False,False,False,0.0,1.349,0.0,1.349
003afb9c-ade5-4ebe-8e74-cc16c4f98b7b,4.0,1.0,1.0,2.0,0.0,183.0,4.0,1.0,0.0,0.0,0.0,2.366846549240126,,,,,,2023-04-27 13:33:05,183.0,32.0,False,False,False,True,False,0.0,0.0,0.0,0.0
003b1aa9-ee23-4874-b957-4deb63b6eeb7,19.0,1.0,1.0,1.0,0.0,134.0,1.0,1.0,0.0,0.0,0.0,2.2729201904894776,,,,,,,,,False,False,False,False,False,0.0,0.0,0.0,0.0
003b9fe5-5024-4951-b35e-315333ea6b9b,1.0,1.0,1.0,1.0,0.0,,,,,,0.0,,,,,,,,,,False,False,False,False,False,0.0,0.0,0.0,0.0
003c216f-6058-4653-b21e-2f0ecfff3a95,13.0,3.0,3.0,2.0,5.0,244.0,7.0,2.0,0.15163934426229508,,0.0,208.7801505784023,4.0,0.0,,0.0,-2.0,2026-01-19 01:26:28,0.0,0.0,False,True,False,False,False,0.0,1.349,0.0,1.349
003f06af-58be-4898-86e4-fbc965987222,10.0,2.0,2.0,2.0,2.0,178.0,4.0,1.0,0.0,1.19870427391008,0.0,17.619026034837432,,,,,,2025-11-07 20:10:38,0.0,0.0,False,False,False,False,False,0.0,0.6745,0.0,0.6745
003fa45a-89e0-4199-99d5-9d7cb0a1dc34,5.0,2.0,2.0,2.0,1.0,,,,,6.3466037446830335,0.0,211.04502605480442,,,,,,2024-11-26 22:39:48,0.0,0.0,False,False,False,False,False,0.0,0.6745,0.0,0.6745
0042fe77-c7ff-4e6d-86f0-da4f485fc318,8.0,1.0,1.0,1.0,0.0,130.0,4.0,1.0,0.0,2.564046719185916,0.0,53.41787956807714,,,,,,,,,False,False,False,False,False,0.0,0.0,0.0,0.0
004a0931-41da-4ca5-9837-393754907ffb,6.0,1.0,1.0,2.0,0.0,17.0,1.0,1.0,0.0,0.01401067486067464,0.0,32.86732930962669,,,,,,,,,False,False,False,False,False,0.0,0.0,0.0,0.0
00510685-b9c0-4cbf-b383-ec9fc8be8e22,2.0,2.0,2.0,1.0,1.0,11.0,2.0,1.0,0.0,0.41684627310593425,0.0,233.97281362083388,,,,,,,,,False,False,False,False,False,0.0,0.6745,0.0,0.6745
00541197-64d3-4b50-917d-7d39f27dc9fd,2.0,1.0,1.0,1.0,0.0,14.0,1.0,1.0,0.0,0.0,0.0,5.442493500350512,,,,,,,,,False,False,False,False,False,0.0,0.0,0.0,0.0
005f0023-2e16-43aa-82c7-e8f77c3d9a0b,13.0,3.0,3.0,2.0,7.0,24.0,6.0,2.0,0.20833333333333334,0.9504742532604469,0.0,1105.2545663245676,4.0,100.0,,0.0,0.0,,,,False,True,False,False,False,0.0,1.349,0.0,1.349
005f5257-540e-46b7-b87a-fbfc39c55870,1.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,0.0,,,,,,,,,,,,False,False,False,False,False,0.0,0.0,0.0,0.0
0061083c-f56c-41e8-9329-2ddb50f77d6e,3.0,3.0,3.0,2.0,2.0,,,,,0.2969664675959574,0.0,656.0310166933665,,,,,,2024-06-23 05:50:16,0.0,0.0,False,False,False,False,False,0.0,1.349,0.0,1.349
