user_id,flag_impossible_travel,flag_concurrent,flag_device_diversity,flag_post_success,flag_reset_shift,risk_score,any_flag
0002211b-6e0c-4bd2-96b9-33c200b9efc4,False,False,False,False,False,0.0,False
00022407-82a1-441a-8925-70c416026784,False,False,False,False,False,0.0,False
00032a17-b498-41d0-9018-9d1eaaf88048,False,False,False,False,False,0.0,False
0006d178-29aa-4668-bcb5-efefd319f056,False,False,False,False,False,0.0,False
00083cfe-429c-4d7e-8f59-3b0ceee503e8,False,False,False,False,False,0.0,False
000aee50-8ff0-4f5e-a15c-98dcbcdf52b9,False,False,False,False,False,0.0,False
000c1ac8-9887-4b61-b695-9f8298acbb8b,False,False,False,False,False,0.0,False
000d6e85-0ac0-4655-957b-f48c92eb3985,False,False,False,False,False,0.0,False
000e3ff5-ce32-4011-865a-716ab9985bff,False,False,False,False,False,0.0,False
00111df2-3d9a-47c3-a3b8-dae3a61369fe,False,False,False,False,False,0.0,False
00118530-d2d8-4fda-8865-b9858f01e65d,False,False,False,False,False,0.0,False
001b72e2-6e16-4e6d-9cab-a7a54095faa9,False,False,False,False,False,0.0,False
001cc8b5-fad1-4486-90c4-5706a3b94373,False,False,False,False,False,0.0,False
001d0e13-92a5-4b62-a474-bf8688c88ad0,False,False,False,False,False,0.0,False
001e50c5-a8fa-4cd3-a7f9-02d0b3751c22,False,False,False,False,False,0.0,False
00251c22-ff00-4905-ae18-de332de2e297,False,False,False,False,False,0.0,False
002537fe-ef18-4a12-bbad-26d2ecc9fb83,False,False,False,False,False,0.0,False
002c1617-9386-409a-83b5-8736ab5d2282,False,False,False,False,False,0.0,False
002d4436-d230-4238-87fc-dde4375e5cfb,False,False,False,False,False,0.0,False
0032aab1-e1b1-44a9-b67d-0816c9d94d70,False,False,False,False,False,0.0,False
00389faf-e30b-43c0-b6dd-1a84aa1ac117,False,False,False,False,False,0.0,False
0038c6c9-4954-4175-b5e0-0ba59089b289,False,False,False,False,False,0.0,False
003afb9c-ade5-4ebe-8e74-cc16c4f98b7b,False,False,False,True,False,1.0,True
003b1aa9-ee23-4874-b957-4deb63b6eeb7,False,False,False,False,False,0.0,False
003b9fe5-5024-4951-b35e-315333ea6b9b,False,False,False,False,False,0.0,False
003c216f-6058-4653-b21e-2f0ecfff3a95,False,True,False,False,False,1.2,True
003f06af-58be-4898-86e4-fbc965987222,False,False,False,False,False,0.0,False
003fa45a-89e0-4199-99d5-9d7cb0a1dc34,False,False,False,False,False,0.0,False
0042fe77-c7ff-4e6d-86f0-da4f485fc318,False,False,False,False,False,0.0,False
004a0931-41da-4ca5-9837-393754907ffb,False,False,False,False,False,0.0,False
00510685-b9c0-4cbf-b383-ec9fc8be8e22,False,False,False,False,False,0.0,False
00541197-64d3-4b50-917d-7d39f27dc9fd,False,False,False,False,False,0.0,False
005f0023-2e16-43aa-82c7-e8f77c3d9a0b,False,True,False,False,False,1.2,True
005f5257-540e-46b7-b87a-fbfc39c55870,False,False,False,False,False,0.0,False
0061083c-f56c-41e8-9329-2ddb50f77d6e,False,False,False,False,False,0.0,False
0061be68-8f96-49d4-8dd2-dbb11ecedc3b,False,False,False,False,False,0.0,False
006347a2-410e-49f8-963e-9a107dac6ddc,False,False,False,False,False,0.0,False
0063a8e4-7487-4c97-8870-6b434e87080e,False,False,False,False,False,0.0,False
00663b27-aa84-48a5-8587-ffeb760bddfc,False,False,False,False,False,0.0,False
00683029-d2b5-47c3-b6f9-43b488bbe338,False,False,False,False,False,0.0,False
00688fb4-9bf6-46ce-a7df-6699cd16c3ac,False,False,False,True,False,1.0,True
0068af0d-7a14-4a79-883f-0405c7d68d1c,False,False,False,False,False,0.0,False
006b1e8a-d0fa-475c-bb87-624d348429c5,False,False,False,False,False,0.0,False
006ca2ac-cbc8-4ca9-9c0d-89c6cbf45319,False,False,False,False,False,0.0,False
006cd761-2fd5-4190-9438-596714df1d63,False,False,False,False,False,0.0,False
00739eeb-48c5-4b50-9f86-b38ad24b9980,False,True,True,False,False,2.2,True
0073b003-4fb2-48e2-b2f8-bba8c8382974,False,False,False,False,False,0.0,False
0073c47c-0b36-476e-a9d4-3a6b3cf6e2de,False,False,False,False,False,0.0,False
00757f42-1adb-4367-bb3b-06ddf383b899,False,False,False,False,False,0.0,False
0079ee0a-15ea-4cee-92a0-e2c0cc47755a,False,False,False,False,False,0.0,False
007a5151-94f0-4ce4-b8fa-a2ac932554fc,False,False,False,False,False,0.0,False
007b527c-fde4-479e-b7d7-6cb9273ddf56,False,False,False,False,False,0.0,False
007ed8d5-1894-4102-907d-8ee5bf2f2415,False,False,False,False,False,0.0,False
00815297-2345-48eb-ad8d-c8e733d514c4,False,False,False,False,False,0.0,False
0084db89-4e36-4fc7-b9ee-cad391c898df,False,False,False,False,False,0.0,False
008941bd-4985-430c-8da2-ff64ad4e73de,False,False,False,False,False,0.0,False
008a5097-4173-401e-b449-5ac793ba8fc9,False,False,False,False,False,0.0,False
008c174a-5197-4640-9cca-c07526d6fc94,False,False,False,False,False,0.0,False
008db654-f043-4025-aada-86ba66628572,False,False,False,False,False,0.0,False
008e4295-ab75-4041-942a-d5e782e4163f,False,False,False,False,False,0.0,False
008f00f7-3a63-42cd-90f2-d343f9bbd2d9,False,False,False,False,False,0.0,False
008fafe5-5579-4bf8-9f30-d8cf9ef7ff62,False,False,False,False,False,0.0,False
00960e5d-a8fe-46e2-950f-425602f8736f,False,False,False,False,False,0.0,False
009adce7-cd23-4637-bade-a0108fe413fa,False,False,False,False,False,0.0,False
009ec1b8-95ef-46d7-a4d0-3e18af0e4bb6,False,False,False,False,False,0.0,False
00a01b39-4251-4a1a-bc50-e9cbcaf5c6dd,False,False,False,False,False,0.0,False
00a09d62-62bc-4b3c-a5f0-5da9b2f273e2,False,False,False,False,False,0.0,False
00a22433-c6e7-4262-95c2-1ec887fe5620,False,False,False,False,False,0.0,False
00a33fb9-04f4-4647-8721-3187caf403f0,False,False,False,False,False,0.0,False
00a36bd6-82dd-4453-804b-854c62a2d36f,False,False,False,False,False,0.0,False
00a72c0d-e34f-40e8-a353-7ac8029d944e,False,False,False,False,False,0.0,False
00a8e875-8f08-444b-98ed-bb9894b54896,False,False,False,False,False,0.0,False
00b7d4cd-3028-4e10-bb08-20ea8b56c6d9,False,False,False,False,False,0.0,False
00b8e596-bb1b-4a33-9a17-891933c058a0,False,False,False,False,False,0.0,False
00b8f797-8d8d-4175-90ba-a74a0b7383f6,False,False,False,False,False,0.0,False
00ba73fe-e881-4727-b38f-bde2e976a3e2,False,False,False,False,False,0.0,False
00ba9909-e3db-4ec6-8239-1e3c955c1d4a,False,False,False,False,False,0.0,False
00bdf24d-89f1-47dc-88f7-7af7284383ec,True,False,False,False,False,1.5,True
00c0cce3-52ef-4381-91ec-6894d4cc1b96,False,False,False,False,False,0.0,False
00c78685-7928-45e2-bc86-995824bda355,False,False,False,False,False,0.0,False
00cb9236-5a5f-441c-a2b7-3e215c6a3102,False,False,False,False,False,0.0,False
00cd6214-c26b-4247-8d92-e7d2959f3a0a,False,False,False,False,False,0.0,False
00cdc1c2-5e2b-478b-8231-680547ef0729,False,False,False,False,False,0.0,False
00cfd758-9094-4476-bbe4-a18a1773e800,False,False,False,False,False,0.0,False
00d034b5-b3e0-4848-b9ad-dbb4209048c4,False,False,False,False,False,0.0,False
00d110f1-8d05-401e-851b-9d39271b1242,False,False,False,False,False,0.0,False
00d636be-c739-461c-8349-950663a25b5a,False,False,False,False,False,0.0,False
00dc752c-4dbc-4c74-8442-f126701b7791,False,False,False,False,False,0.0,False
00e18958-d46a-41fd-88ac-1aa7ac412ec6,False,False,False,False,False,0.0,False
00e2b5a6-176a-4ee6-9240-11cf0b289529,False,False,False,False,False,0.0,False
00e8bc3a-5d3b-4f36-88e8-40fec816e736,False,False,False,False,False,0.0,False
00e95839-0270-46ed-904a-ffc5bd7389a8,False,False,False,False,False,0.0,False
00f938b2-772e-4dc4-a903-fc2af9b5dd57,False,False,False,False,False,0.0,False
00fa1746-5ffd-4ec2-adbe-d69b6d9bc982,False,False,False,True,False,1.0,True
00fb2386-1d6d-4d6e-8796-5f52f2064f00,False,False,False,False,False,0.0,False
00fb8218-c6e2-43dc-8221-d8ea52239e4f,False,False,False,False,False,0.0,False
00ffbb3b-37d8-4828-aedf-9c831a922b4c,False,False,False,False,False,0.0,False
01051140-905e-40a8-9f58-f046a43cbfb6,False,False,False,False,False,0.0,False
0105866c-2cb9-4cbc-a024-55d8ff016f9d,False,False,False,False,False,0.0,False
01068f16-d60b-4697-a295-d2dad211a629,True,False,False,False,False,1.5,True
0109b166-d3c3-4441-b401-3e391b511fe7,False,False,False,False,False,0.0,False
010ab522-23d9-442c-b7f0-b83b1fbc8b46,False,False,False,False,False,0.0,False
011094ee-a3ee-4bc3-9c44-09274f6a0f75,False,False,False,False,False,0.0,False
